Level,WKT
66,"POLYGON ((9.783571982694893 46.406259606503959,9.835807547590688 46.557111321777960,9.646816030348532 46.573309718799550,9.595545836590231 46.422292380802148,9.783571982694893 46.406259606503959))"
67,"POLYGON ((9.646816030348532 46.573309718799550,9.698527496824488 46.724756553235480,9.508958273649842 46.740765226376702,9.458220080722731 46.589154504837836,9.646816030348532 46.573309718799550))"
68,"POLYGON ((9.835807547590688 46.557111321777960,9.888492063376068 46.708390752550592,9.698527496824488 46.724756553235480,9.646816030348532 46.573309718799550,9.835807547590688 46.557111321777960))"
69,"POLYGON ((9.888492063376068 46.708390752550592,9.941630930561736 46.860096294078240,9.750685556024823 46.876631298579809,9.698527496824488 46.724756553235480,9.888492063376068 46.708390752550592))"
70,"POLYGON ((9.941630930561736 46.860096294078240,9.995229633242426 47.012226290746462,9.803295610561424 47.028932318644841,9.750685556024823 46.876631298579809,9.941630930561736 46.860096294078240))"
71,"POLYGON ((9.698527496824488 46.724756553235480,9.750685556024823 46.876631298579809,9.560135262032682 46.892805623974340,9.508958273649842 46.740765226376702,9.698527496824488 46.724756553235480))"
72,"POLYGON ((9.508958273649842 46.740765226376702,9.560135262032682 46.892805623974340,9.369985981045563 46.908621208528224,9.319790238444844 46.756418699476335,9.508958273649842 46.740765226376702))"
73,"POLYGON ((9.560135262032682 46.892805623974340,9.611756365859899 47.045274080557789,9.420617920999730 47.061253525449700,9.369985981045563 46.908621208528224,9.560135262032682 46.892805623974340))"
74,"POLYGON ((9.319790238444844 46.756418699476335,9.369985981045563 46.908621208528224,9.180243591884041 46.924080018095282,9.131029182638482 46.771718927085871,9.319790238444844 46.756418699476335))"
75,"POLYGON ((8.754750905229029 46.801267596105795,8.802002732098353 46.953935310396069,8.613515744958884 46.968335857927691,8.567244994905735 46.815520077084926,8.754750905229029 46.801267596105795))"
76,"POLYGON ((8.802002732098353 46.953935310396069,8.849666788199317 47.107037866411112,8.660190668698482 47.121588087396844,8.613515744958884 46.968335857927691,8.802002732098353 46.953935310396069))"
