ID,WKT
33,"POLYGON ((7.595257054029791 46.728588142058683,7.636268925612545 46.881646961027428,7.451422221093694 46.893860133160722,7.411380504893284 46.740675282247977,7.595257054029791 46.728588142058683))"
34,"POLYGON ((7.554599845652008 46.575976112457930,7.595257054029791 46.728588142058683,7.411380504893284 46.740675282247977,7.371685421048833 46.587938583717985,7.554599845652008 46.575976112457930))"
35,"POLYGON ((7.189231261228175 46.599575397259066,7.227965016584323 46.752433446012418,7.045015678151126 46.763864833386357,7.007242377355785 46.610888736509985,7.189231261228175 46.599575397259066))"
36,"POLYGON ((6.895865613401482 46.154677891170842,6.932671275665387 46.306294032265860,6.753047738292168 46.317060295376415,6.717177871525054 46.165333084831346,6.895865613401482 46.154677891170842))"
37,"POLYGON ((7.254638207374755 46.132430491055366,7.293318382434197 46.283814926438666,7.112763091317550 46.295212965716914,7.075020635264524 46.143711077401726,7.254638207374755 46.132430491055366))"
38,"POLYGON ((7.216288221590603 45.981499255709082,7.254638207374755 46.132430491055366,7.075020635264524 46.143711077401726,7.037600675355394 45.992663659611345,7.216288221590603 45.981499255709082))"
39,"POLYGON ((7.293318382434197 46.283814926438666,7.332332761064650 46.435651370069863,7.150831970298083 46.447168146959520,7.112763091317550 46.295212965716914,7.293318382434197 46.283814926438666))"
40,"POLYGON ((7.332332761064650 46.435651370069863,7.371685421048833 46.587938583717985,7.189231261228175 46.599575397259066,7.150831970298083 46.447168146959520,7.332332761064650 46.435651370069863))"
41,"POLYGON ((7.514293001393570 46.423812219778867,7.554599845652008 46.575976112457930,7.371685421048833 46.587938583717985,7.332332761064650 46.435651370069863,7.514293001393570 46.423812219778867))"
42,"POLYGON ((7.837716230932599 46.247697565792492,7.879571806899757 46.399158231091974,7.696707699502297 46.411648549025927,7.655799896282021 46.260059347510087,7.837716230932599 46.247697565792492))"
43,"POLYGON ((7.655799896282021 46.260059347510087,7.696707699502297 46.411648549025927,7.514293001393570 46.423812219778867,7.474332289426683 46.272097764033767,7.655799896282021 46.260059347510087))"
44,"POLYGON ((7.977637447276196 46.084128028367132,8.020076265645800 46.235010328234601,7.837716230932599 46.247697565792492,7.796218088368060 46.096684852287027,7.977637447276196 46.084128028367132))"
45,"POLYGON ((8.159494873275781 46.071246957002813,8.202874917433583 46.221995565130193,8.020076265645800 46.235010328234601,7.977637447276196 46.084128028367132,8.159494873275781 46.071246957002813))"
46,"POLYGON ((8.202874917433583 46.221995565130193,8.246627774507278 46.373189251628993,8.062880218791838 46.386339160118943,8.020076265645800 46.235010328234601,8.202874917433583 46.221995565130193))"
47,"POLYGON ((8.290757955202984 46.524826701378764,8.335270040966630 46.676906551452021,8.149601301661335 46.690331176028451,8.106053732380616 46.538113224947857,8.290757955202984 46.524826701378764))"
48,"POLYGON ((8.007326876811252 46.856214866534216,8.050656275323368 47.009454028733138,7.863922094148371 47.022472661244436,7.821572239590209 46.869099263453577,8.007326876811252 46.856214866534216))"
49,"POLYGON ((8.237836944299158 46.996093109245052,8.282534368311019 47.149634155662149,8.094365503789035 47.163134246899688,8.050656275323368 47.009454028733138,8.237836944299158 46.996093109245052))"
50,"POLYGON ((8.094365503789035 47.163134246899688,8.138459257599624 47.317253995830271,7.949741390095905 47.330545509862013,7.906643610128567 47.176288579677660,8.094365503789035 47.163134246899688))"
51,"POLYGON ((8.182942307483673 47.471811700564750,8.227819500991412 47.626805735929914,8.037084523889666 47.640376121659571,7.993220110650165 47.485241893345012,8.182942307483673 47.471811700564750))"
52,"POLYGON ((8.037084523889666 47.640376121659571,8.081339458909309 47.795946535873341,7.890037643700349 47.809300882788520,7.846803575988951 47.653592346282920,8.037084523889666 47.640376121659571))"
53,"POLYGON ((8.373112359801237 47.458028698322053,8.419002733266012 47.612878960508823,8.227819500991412 47.626805735929914,8.182942307483673 47.471811700564750,8.373112359801237 47.458028698322053))"
54,"POLYGON ((7.573670266024580 47.356089555146490,7.615141962340153 47.511052727346645,7.426797197471997 47.523437866766713,7.386328023196466 47.368346552313419,7.573670266024580 47.356089555146490))"
55,"POLYGON ((7.532562722289082 47.201568722573221,7.573670266024580 47.356089555146490,7.386328023196466 47.368346552313419,7.346214572122230 47.213698966386296,7.532562722289082 47.201568722573221))"
56,"POLYGON ((8.995183309060112 47.568938392309363,9.044547666876324 47.723763868020839,8.851032663414710 47.738929208797643,8.802690562682502 47.583947453023512,8.995183309060112 47.568938392309363))"
57,"POLYGON ((8.849666788199317 47.107037866411112,8.897748130957812 47.260573670231558,8.707274734495124 47.275275189265038,8.660190668698482 47.121588087396844,8.849666788199317 47.107037866411112))"
58,"POLYGON ((9.663826988263853 47.198168928121952,9.716352617103505 47.351488447245529,9.523211750004467 47.367800935722904,9.471691376651485 47.214314001246258,9.663826988263853 47.198168928121952))"
59,"POLYGON ((10.405097146225662 46.506375706782947,10.432838551804192 46.581701049050082,10.337477642138865 46.590425896830318,10.309978692911859 46.515055948396295,10.405097146225662 46.506375706782947))"
60,"POLYGON ((10.337477642138865 46.590425896830318,10.365094280130570 46.665901418858049,10.269583586481723 46.674580196949513,10.242210420482477 46.599060275709682,10.337477642138865 46.590425896830318))"
61,"POLYGON ((10.432838551804192 46.581701049050082,10.460698594197900 46.657131727006984,10.365094280130570 46.665901418858049,10.337477642138865 46.590425896830318,10.432838551804192 46.581701049050082))"
62,"POLYGON ((10.201413377032891 46.758838002166115,10.228776661016926 46.834613343379253,10.132965400239520 46.843198700325047,10.105847633707107 46.767379381408198,10.201413377032891 46.758838002166115))"
63,"POLYGON ((10.297074187885929 46.750205720425221,10.324682927428352 46.825936635828640,10.228776661016926 46.834613343379253,10.201413377032891 46.758838002166115,10.297074187885929 46.750205720425221))"
64,"POLYGON ((9.971988158246930 46.389874823814203,9.998531755685041 46.465162786950451,9.904034493332233 46.473441679658883,9.877731676595047 46.398111332612956,9.971988158246930 46.389874823814203))"
65,"POLYGON ((9.998531755685041 46.465162786950451,10.025188822182960 46.540557424138868,9.930449830374130 46.548878927567245,9.904034493332233 46.473441679658883,9.998531755685041 46.465162786950451))"
66,"POLYGON ((9.877731676595047 46.398111332612956,9.904034493332233 46.473441679658883,9.809633980590812 46.481631901380808,9.783571982694893 46.406259606503959,9.877731676595047 46.398111332612956))"
